"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","ESTRATO","LLAVE_PANEL","CCDD","AREA","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","D341_T","D344","D347_T","D350","D351_T","I339_1","I342","I345_1","I348","INGTOT","INGTOTP","ingtrabw","RESIDENT","Informal_P","FAC300_ANUAL"
2025,"01","30653",1,"0067",1,5,"202310306531006711","12",1,1,1,1,2,,1,45,1,1,11,8,1979,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,7,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,9,3,,2,1,2,2,2,2,10,7,4,,,,,,,,,,,,,1,,333.2458142849275
2025,"01","30653",1,"0068",1,5,"202310306531006811","12",1,1,1,1,2,,1,54,1,1,19,11,1970,1,,,,,,,,,,,,,,,,8111,729,3,5,1,,5,9998,12,12,12,12,12,12,12,84,,84,1,,2,,2,2,4,2100,480,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,480,,,,,2100,,,,2580,2580,2580,1,2,342.686886918205
2025,"01","30653",1,"0068",1,5,"202310306531006812","12",1,2,2,1,1,,2,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
2025,"01","30653",1,"0069",1,5,"202310306531006911","12",1,1,1,1,2,,2,28,1,1,5,4,1996,1,,,,,,,,,,,,,,,,7513,1071,3,5,1,,2,26,7,6,7,6,7,6,0,39,,39,1,,2,,2,2,4,630,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,8,2,,2,2,2,2,2,2,10,1,1,,,,,,630,,,,630,630,630,1,1,287.5963694761625
2025,"01","30653",1,"0069",1,5,"202310306531006912","12",1,2,2,1,2,,1,34,2,2,6,11,1990,1,,,,,,,,,,,,,,,,8322,4922,2,,3,2,1,1,0,8,6,10,8,8,10,50,,50,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,1,,2,2,2,2,2,2,10,7,1,,,,,,,1569,,,1569,1569,1569,1,1,294.3943441004325
2025,"01","30653",1,"0069",1,5,"202310306531006913","12",1,3,3,1,2,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2025,"01","30653",1,"0069",1,5,"202310306531006914","12",1,4,7,1,2,,1,18,4,4,26,8,2006,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,,432.947838416295
2025,"01","30653",1,"0073",1,5,"202310306531007311","12",1,1,1,1,2,,2,51,1,1,17,5,1973,1,,,,,,,,,,,,,,,,2611,6910,2,,2,2,1,1,0,5,5,5,5,5,5,30,,30,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,1,5,2,,2,,11,6,,2,2,2,2,2,2,10,7,1,,,,,,,2150,,,2150,2150,2150,1,2,217.82397962314275
2025,"01","30653",1,"0073",1,5,"202310306531007312","12",1,2,3,1,2,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2025,"01","3073601",1,"0023",1,5,"20241030736011002311","12",1,1,1,1,2,,2,58,1,1,19,4,1966,1,,,,,,,,,,,,,,,,5120,5629,2,,3,2,1,1,0,0,12,0,0,0,0,12,,12,1,,2,,2,2,,,,,,,,,,,,,,,,,2,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,2,,1,2,2,2,2,2,10,7,1,,22,,,,,254,,,276,276,276,1,1,178.38052991126224
